pronunciation,kana,kanji,meaning
ikisosou,いきそそう,意気阻喪,"depressed in spirits, rejection, disheartened, lacking nerve"
isi,いし,意志,"will, volition, intention, intent, determination"
isinotuyoi,いしのつよい,意志の強い,"strong-minded, strong-willed, having great willpower"
isinosotuu,いしのそつう,意志の疎通,"mutual understanding, agreement of wills"
isi,いし,意思,"intention, wish, purpose, mind (to do)"
isiki,いしき,意識,"consciousness"
isikitai,いしきたい,意識体,"discarnate entity"
isikihumei,いしきふめい,意識不明,"unconscious, senseless"
ito,いと,意図,"intention, aim, design"
itoteki,いとてき,意図的,"intentional, on purpose"
imi,いみ,意味,"meaning, significance, sense"
imiai,いみあい,意味合い,"implication, nuance, shade of meaning, connotation"
iyaku,いやく,意訳,"free translation, liberal translation"
ireisai,いれいさい,慰霊祭,"memorial service"
irou,いろう,慰労,"recognition of services"
yasui,やすい,易い,"easy"
yasasii,やさしい,易しい,"easy, plain, simple"
isu,いす,椅子,"chair, stool"
tame,ため,為,"good, advantage, benefit, welfare"
nasaru,なさる,為さる,"to do"
nasioeru,なしおえる,なし終える,"to accomplish, to finish"
nasiowaru,なしおわる,なし終わる,"to finish"
nasu,なす,為す,"to build up, to establish"
siteyaru,してやる,して遣る,"to do for (someone)"
tameni,ために,為に,"for, for the sake of, to one's advantage, in favor of, in favour of, on behalf of"
narite,なりて,なり手,"person willing to take on a role, willing candidate"
suru,する,為る,"to do, to carry out, to perform"
sinikui,しにくい,為悪い,"hard to do"
siooseru,しおおせる,為果せる,"to accomplish"
siau,しあう,し合う,"to do together"
sinokosu,しのこす,し残す,"to leave unfinished"
sisome,しそめ,為初め,"outset, beginning"
sisomeru,しそめる,為初める,"to begin to do"
hitotonari,ひととなり,人となり,"hereditary disposition, temperament, nature"
situkusu,しつくす,し尽くす,"to leave nothing undone, to do all in one's might, to do everything possible"
iseika,いせいか,為政家,"politician"
teitaraku,ていたらく,体たらく,"(unpleasant) state of affairs, predicament, mess"
kawase,かわせ,為替,"money order, draft"
siotosi,しおとし,為落し,"omission, oversight"
sioti,しおち,為落ち,"omission, oversight"
siotosu,しおとす,為落とす,"to fail to do, to make light of, to neglect"
kasikomaru,かしこまる,畏まる,"to obey respectfully, to humble oneself, to sit straight (upright, respectfully, attentively)"
ikei,いけい,畏敬,"reverence, awe, respect"
ihu,いふ,畏怖,"awe, fear, dread, fright"
ihuku,いふく,畏服,"awe"
iyuu,いゆう,畏友,"one's esteemed friend"
iku,いく,畏懼,"reverence, awe, fear"
kotonaru,ことなる,異なる,"to differ, to vary, to disagree"
iiki,いいき,異域,"foreign lands"
ika,いか,異化,"dissimilation"
ikoku,いこく,異国,"foreign country"
isai,いさい,異彩,"conspicuousness (usu. color), prominence, distinctiveness"
isai,いさい,異才,"genius, prodigy, (person of) great talent, remarkable person"
isitu,いしつ,異質,"different (quality, nature), heterogeneous"
isuu,いすう,異数,"unusual, exceptional, phenomenal"
isei,いせい,異姓,"different surname, different family name"
isei,いせい,異性,"the opposite sex"
iseitai,いせいたい,異性体,"isomer, isomeric"
isetu,いせつ,異説,"different view, alternative theory, dissenting view"
itai,いたい,異体,"different body"
ihu,いふ,異父,"different father"
ihuu,いふう,異風,"unusual customs"
ihuku,いふく,異腹,"child of a different mother"
ihousei,いほうせい,異方性,"anisotropy"
iyou,いよう,異様,"bizarre, strange, eccentric, odd, queer"
irui,いるい,異類,"varieties, different kinds"
irei,いれい,異例,"exceptional, unusual, extraordinary, unprecedented, singular"
utusu,うつす,移す,"to change, to swap, to substitute, to transfer"
uturiyuku,うつりゆく,移り行く,"to change, to shift, to come and go"
uturikawari,うつりかわり,移り変わり,"change (e.g. season)"
uturu,うつる,移る,"to move (house), to transfer (department)"
uturou,うつろう,移ろう,"to change (with the passage of time)"
ikou,いこう,移行,"switching over to, migration, transition"
ikoukeikaku,いこうけいかく,移行計画,"transition plan"
ikousei,いこうせい,移行性,"portability, upgradability, upwards compatibility"
ikou,いこう,移項,"transposition"
iseki,いせき,移籍,"transfer (of one's name into another family register)"
isetu,いせつ,移設,"relocation (of a facility), moving establishment"
isou,いそう,移送,"transfer, transport, removal"
i,い,胃,"stomach"
ieki,いえき,胃液,"gastric juice"
ikasui,いかすい,胃下垂,"gastroptosis"
ituu,いつう,胃痛,"stomach-ache, stomach pain, gastralgia"
ikaiyou,いかいよう,胃潰瘍,"stomach ulcer"
iheki,いへき,胃壁,"stomach lining, gastric wall"
naeru,なえる,萎える,"to lose strength, to become weak, to disappear (of energy, drive, etc.)"
sioreru,しおれる,萎れる,"to wither, to wilt, to droop, to fade"
koromo,ころも,衣,"clothes, garment"
ika,いか,衣架,"clothes rack"
ikou,いこう,衣桁,"clothes rack"
ikou,いこう,衣香,"perfume on the clothing"
itai,いたい,衣帯,"clothes and obi, full court dress"
ihatu,いはつ,衣鉢,"mysteries of one's master's art"
ihuku,いふく,衣服,"clothes"
iware,いわれ,謂れ,"reason, cause"
isiki,いしき,違式,"informality, breach of etiquette"
ihai,いはい,違背,"violation, transgression"
ihou,いほう,違法,"illegal, illicit, unlawful"
iyaku,いやく,違約,"breach of contract, default"
irei,いれい,違令,"violation of law"
irei,いれい,違例,"unconventionality"
iwa,いわ,違和,"physical disorder"
iai,いあい,遺愛,"bequest, relic"
iei,いえい,遺影,"portrait of deceased person"
iei,いえい,遺詠,"posthumous song or poem"
ikai,いかい,遺戒,"one's last caution"
iko,いこ,遺孤,"orphan"
ikou,いこう,遺功,"works following the deceased"
ikou,いこう,遺構,"(archaeological) remains, remnants (of ancient structures), ancient foundation"
ikou,いこう,遺稿,"posthumous manuscripts"
ikou,いこう,遺香,"lingering odor of giver (clothes, etc.) (odour)"
ikotu,いこつ,遺骨,"cremated remains (esp. the bones), ashes"
isaku,いさく,遺作,"posthumous works"
isi,いし,遺子,"orphan"
isi,いし,遺志,"wishes of a deceased person, dying wish"
isitu,いしつ,遺失,"loss"
isei,いせい,遺制,"institutions bequeathed from the past"
isei,いせい,遺精,"nocturnal emissions (of semen), oneirogmus"
iseki,いせき,遺跡,"historic ruins (remains, relics), archeological site"
isou,いそう,遺草,"posthumous works"
itai,いたい,遺体,"corpse, remains"
itoku,いとく,遺徳,"benefit from ancestors' virtue"
ihatu,いはつ,遺髪,"hair of the deceased"
ihuu,いふう,遺風,"hereditary custom, surviving tradition"
ihou,いほう,遺芳,"memory or autograph of deceased"
imei,いめい,遺命,"will, dying instructions"
irou,いろう,遺漏,"omission"
irounaku,いろうなく,遺漏なく,"complete, without omission"
isi,いし,遺址,"(historic) ruins"
i,い,医,"medicine, the healing art, healing, curing"
ika,いか,医家,"doctor"
ika,いか,医科,"medical science, medical department"
ikai,いかい,医会,"medical society"
ikai,いかい,医界,"medical world"
isi,いし,医師,"doctor, physician"
isikai,いしかい,医師会,"medical association"
isihou,いしほう,医師法,"medical practitioner's law"
iseki,いせき,医籍,"register of physicians"
ihaku,いはく,医伯,"doctor"
ihaku,いはく,医博,"doctor of medicine, MD"
imu,いむ,医務,"medical affairs"
imusitu,いむしつ,医務室,"doctor's office, medical office, sickbay"
iyaku,いやく,医薬,"medicine"
iyou,いよう,医用,"medical use"
imori,いもり,井守,"newt (esp. the Japanese fire belly newt, Cynops pyrrhogaster)"
seitei,せいてい,井底,"well bottom, narrow place"
ikinai,いきない,域内,"inside the area"
ikuei,いくえい,育英,"education of gifted young people, providing financial support to gifted students"
ikueikai,いくえいかい,育英会,"scholarship society, educational society, honor society"
ikusuuki,いくすうき,育雛器,"breeder"
iti,いち,一,"one"
hitotu,ひとつ,一つ,"one"
hitotuhitotu,ひとつひとつ,一つ一つ,"one-by-one, separately, in detail"
hitotukoto,ひとつこと,一つ事,"the same thing"
hitotukokoro,ひとつこころ,一つ心,"one mind, the whole heart, wholeheartedness"
hitotumi,ひとつみ,一つ身,"baby clothes"
hitotuoki,ひとつおき,一つ置き,"alternate, every other one"
hitotuokini,ひとつおきに,一つ置きに,"alternately"
hitotume,ひとつめ,一つ目,"one-eyed"
ituni,いつに,一に,"solely, entirely, only, or"
itimonimonaku,いちもにもなく,一も二もなく,"unhesitatingly"
itiaku,いちあく,一握,"handful"
itii,いちい,一葦,"one reed"
itii,いちい,一位,"first place, first rank, unit's position"
itii,いちい,一尉,"captain (JASDF, JGSDF), lieutenant (senior grade) (JMSDF)"
itii,いちい,一意,"one meaning, one thought"
itiitaisui,いちいたいすい,一衣帯水,"(being separated only by a) narrow strip of water, narrow strait (channel, river)"
hitonomi,ひとのみ,一飲み,"swallowing in one gulp, downing, mouthful, bite"
itiwa,いちわ,一羽,"one (bird)"
hitoame,ひとあめ,一雨,"shower, rainfall"
hitosio,ひとしお,一塩,"slightly salted"
itiou,いちおう,一応,"more or less, though not quite satisfactorily, after a fashion, pretty much, roughly, so far as it goes"
hitoosi,ひとおし,一押し,"a push"
itioku,いちおく,一億,"100,000,000, one hundred million"
hitohana,ひとはな,一花,"one flower, single flower"
hitomawari,ひとまわり,一回り,"one turn, one round"
itiwari,いちわり,１割,"ten percent"
hitokurume,ひとくるめ,一括め,"one bunch, one bundle, one lot"
hitokukuri,ひとくくり,一括り,"lump together, put all together"
hitotamarimonaku,ひとたまりもなく,一溜まりもなく,"easily (beaten, destroyed, etc.), without difficulty, helplessly, without the least resistance"
hitoase,ひとあせ,一汗,"doing a job, riding and sweating up a horse"
hitoma,ひとま,一間,"one room"
hitohata,ひとはた,一旗,"(one) flag"
hitoyasumi,ひとやすみ,一休み,"(short) rest, breather, break"
hitokoma,ひとコマ,１コマ,"one scene, one frame, one shot, one exposure"
hitomure,ひとむれ,一群れ,"group, flock, crowd, herd"
hitoketa,ひとけた,一桁,"one digit, one column, the 'ones' column"
hitotuki,ひとつき,一月,"one month"
hitokotohutakoto,ひとことふたこと,一言二言,"a word or two"
hitokuti,ひとくち,一口,"mouthful, morsel, bite"
hitokutiakinai,ひとくちあきない,一口商い,"immediate deal, deal sealed by one word"
hitoare,ひとあれ,一荒れ,"squall, burst of anger"
hitokoro,ひところ,一頃,"once, some time ago"
hitokiwa,ひときわ,一際,"conspicuously, noticeably, remarkably, especially, particularly"
hitotumami,ひとつまみ,一撮み,"pinch (of something), one piece"
hitosara,ひとさら,一皿,"plate, dish (of food)"
hitoomoini,ひとおもいに,ひと思いに,"instantly, resolutely"
hitotoki,ひととき,一時,"moment, a (short) time, a while"
hitote,ひとて,一手,"one's own effort, doing single-handedly"
hitokeri,ひとけり,一蹴り,"kick"
hitokasane,ひとかさね,一重ね,"suit, set of boxes"
hitoneiri,ひとねいり,一寝入り,"nap"
hitorine,ひとりね,一人寝,"sleeping alone"
hitorimusuko,ひとりむすこ,一人息子,"only son"
hitoriatari,ひとりあたり,１人あたり,"per person, per capita, per head"
hitoriate,ひとりあて,一人当て,"per person"
hitoriaruki,ひとりあるき,一人歩き,"taking on a life of its own (of a rumour, etc.)"
hitorimusume,ひとりむすめ,一人娘,"only daughter"
hitoriyou,ひとりよう,一人用,"for one person's use"
hitohuki,ひとふき,一吹き,"blast, puff, whiff, gust"
hitosakari,ひとさかり,一盛り,"temporary prosperity"
hitomori,ひともり,一盛り,"pile"
hitomukasi,ひとむかし,一昔,"ages, long time"
hitomukasimae,ひとむかしまえ,一昔前,"long ago, previous, of a former age"
hitokiri,ひときり,一切り,"pause, period, step, once, some years ago"
hitokire,ひときれ,一切れ,"slice, small piece"
hitoori,ひとおり,一折り,"one box"
hitomura,ひとむら,一叢,"copse, crowd, herd"
hitohasiri,ひとはしり,一走り,"(short) run, drive, ride, spin"
hitoiki,ひといき,一息,"one breath"
hitoasi,ひとあし,一足,"a step"
hitoasisaki,ひとあしさき,一足先,"(a) step ahead, (a) jump ahead"
hitosoroi,ひとそろい,一揃い,"a set, a suit"
hitosoroe,ひとそろえ,一揃え,"set, suit"
hitouti,ひとうち,一打ち,"stroke, blow"
ititaiiti,いちたいいち,１対１,"one-to-one, one-on-one"
hitotoori,ひととおり,一通り,"generally, in the main, briefly (look over, explain, etc.), roughly, more or less"
hitotukami,ひとつかみ,一掴み,"handful"
hitomune,ひとむね,一棟,"one house, the same house"
itinitiitiniti,いちにちいちにち,一日一日,"gradually, day by day"
itinitiitiya,いちにちいちや,一日一夜,"all day and night"
itinitimasini,いちにちましに,一日増しに,"day by day"
itinitioki,いちにちおき,一日置き,"every other day"
hitosio,ひとしお,一入,"still more, especially"
itiwa,いちわ,一把,"bundle, bunch"
hitokawa,ひとかわ,一皮,"unmasking"
itihimenitarou,いちひめにたろう,一姫二太郎,"It's good to have a girl first and then a boy"
hitosikiri,ひとしきり,一頻り,"for a while, for some time, for a period"
hitohuro,ひとふろ,一風呂,"(a) bath"
hitokuse,ひとくせ,一癖,"trait, peculiarity, idiosyncrasy"
hitokakae,ひとかかえ,一抱え,"armful, bundle"
hitokatanaranu,ひとかたならぬ,一方ならぬ,"extraordinary, special"
